Customer:,LeVel-normal
,Column
Row,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
C,THRV037,SKIN003,THRV001M2WK,THRV016,THRV017,THRV019,THRV007,THRV038,THRV033,THRV020-BURNBGS,THRV010-W,THRV036,THRV001W2WK,THRV020-BURN,THRV032,THRV014-C
B,THRV004-IAM,THRV001M,THRV001W,SKINXP01,THRV010,SMPLCRTN-W,THRV002,SMPLCRTN-M,THRV003-CHIC,THRV003,THRV011,THRV002-C,THRV040-TAC1,THRV003-PRP,THRV014,THRV003-IAM
A,THRV035,SKIN006,THRV009,SKINXP01-SMPL,THRV006-MS,THRV015,THRV003-2WK,THRV006-W,THRV039,THRV021,THRV012,SKIN007,THRV004,THRV018,THRV005,THRV011-C
