Customer:,LeVel-sub
,Column
Row,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
C,THRV017,SKINXP01-SMPL,SKIN004,THRV023,THRV040-TAC1,THRV016-BBW,BITE001,SKIN001,THRV036,THRV009,THRV021,SKIN005,THRV012,SMPLCRTN-M,THRV003-2WK,THRV001W2WK
B,SKIN006,THRV014,THRV001W,THRV006-MS,THRV003-CHIC,THRV003-PRP,THRV002,THRV003-IAM,THRV002-C,THRV003,THRV001M,SMPLCRTN-W,THRV004,THRV010,THRV011,THRV011-C
A,SKIN003,THRV001M2WK,THRV008,THRV006-W,THRV018,SKINXP01,THRV010-W,THRV007,THRV020-BURNBGS,THRV015,THRV005,THRV039,THRV014-C,THRV020-BURN,SKIN007,THRV032
