Customer:,3PF
,Column
Row,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
C,WALFIRST-5.25,WALFIRST-1.00,WALBASE-5.50,WALBASE-7.50,WALBASE-6.00,WALFIRST-5.00,WALFIRST-6.00,WALBASE-9.50,WALFIRST-7.00,WALBASE-5.25,WALFIRST-1.25,WALBASE+4.00,WALBASE-8.50,WALFIRST-4.50,WALFIRST-1.50,WALFIRST-6.50
B,WALBASE-1.50,WALBASE-3.75,WALBASE-2.50,WALBASE-4.50,WALBASE-4.00,WALBASE-1.75,WALBASE-2.00,WALBASE-1.25,WALBASE-3.25,WALBASE-3.50,WALBASE-2.25,WALBASE-4.25,WALFIRST-2.50,WALBASE-2.75,WALBASE-3.00,WALFIRST-2.75
A,WALFIRST-4.25,WALFIRST-2.00,WALFIRST-3.00,WALBASE-9.00,WALBASE-7.00,WALBASE-1.00,WALFIRST-3.50,WALBASE-0.75,WALFIRST-1.75,WALBASE-4.75,WALFIRST-4.00,WALFIRST-4.75,WALBASE-6.50,WALBASE-5.00,WALFIRST-2.25,WALFIRST-3.25
